OrderID,OrderDate,CustomerID,ProductID,StoreID,Quantity,UnitPrice,Discount,PaymentMethod,OrderStatus
ORD11030,2023-08-26,C0415,P007,ST002,1,2999,0,Mada,Completed
ORD16373,2024-03-02,C0440,P048,ST003,2,89,0.05,Mada,Completed
ORD15324,2023-02-25,C0385,P044,ST001,4,1099,0,Apple Pay,Completed
ORD10628,2023-08-15,C0047,P044,ST003,3,1099,0,Mastercard,Completed
ORD11005,2023-04-09,C0021,P049,ST003,1,399,0,Visa,Returned
ORD10304,21/11/2024,C0259,P011,ST003,2,2799,0,Mada,Completed
ORD10004,2024-05-24,C0469,P047,ST003,1,119,0.1,Mada,Completed
ORD11220,2023-01-23,C0362,P004,ST002,2,4599,0,Mastercard,Completed
ORD14697,2023-10-19,C0419,P031,ST003,1,2699,0,Mada,Completed
ORD10111,2023-05-20,C0333,P028,ST003,2,4299,0.15,Cash,Completed
ORD16681,2024-04-17,C0405,P006,ST001,1,3999,0.05,Cash,Completed
ORD11511,2023-04-26,C0070,P042,ST002,1,11499,0.05,Mada,Completed
ORD15527,2023-09-12,C0016,P037,ST002,1,2299,0.05,Cash,Completed
ORD14411,2024-05-17,C0376,P048,ST004,1,89,0,Mastercard,Completed
ORD16066,2024-05-20,C0084,P023,ST003,1,3699,0.2,Apple Pay,Completed
ORD14921,2023-11-14,C0090,P008,ST002,1,8999,0,Mada,Completed
ORD10826,2024-04-12,C0074,P050,ST003,2,599,0,Mastercard,Completed
ORD15605,2024-03-23,C0324,P009,ST003,1,4999,0,Mada,Completed
ORD14002,2024-04-27,C0361,P029,ST002,1,4999,0,Apple Pay,Completed
ORD11360,2024-03-05,C0188,P039,ST003,1,1499,0,Visa,Completed
ORD11067,12/08/2023,C0244,P008,ST001,1,8999,0.05,Mastercard,Completed
ORD14517,2024-07-26,C0466,P023,ST002,2,3699,0,Visa,Completed
ORD15159,2024-03-24,C0243,P030,ST001,1,6499,0.15,Cash,Completed
ORD16533,2024-05-23,C0405,P038,ST001,2,2199,0,Mada,Completed
ORD14466,2024-07-20,C0272,P024,ST002,1,3999,0,Apple Pay,Completed
ORD13867,2023-06-17,C0341,P040,ST001,1,349,0,Cash,Completed
ORD17059,2024-12-03,C0262,P047,ST002,1,119,0,Apple Pay,Completed
ORD15664,2023-04-20,C0098,P027,ST003,1,3499,0,Visa,Completed
ORD13592,2024-08-09,C0411,P038,ST001,1,2199,0,Cash,Completed
ORD16474,2024-03-06,C0027,P050,ST004,1,599,0, Apple Pay  ,Completed
ORD13594,2024-03-04,C0315,P005,ST003,1,1599,0.1,Apple Pay,Completed
ORD13553,2023-11-20,C0446,P045,ST003,1,599,0,Mastercard,Completed
ORD10551,2024-08-22,C0214,P001,ST004,1,5999,0,Mada,Completed
ORD14773,2024-04-04,C0249,P004,ST004,1,4599,0,Bank Transfer,Completed
ORD11407,2023-01-01,C0278,P032,ST002,1,2199,0,Apple Pay,Completed
ORD10597,2024-08-18,C0120,P041,ST003,1,10999,0.1,Mada,Completed
ORD15306,2024-07-29,C0204,P024,ST002,3,3999,0.15,Mastercard,Completed
ORD15269,2024-02-16,C0488,P020,ST002,3,1499,0,Mada,Completed
ORD16749,2023-08-16,C0373,P030,ST001,1,6499,0.05,Mada,Completed
ORD15514,2024-04-10,c0351,P003,ST003,2,3499,0.1,Mada,Completed
ORD11877,2024-06-14,C0295,P047,ST001,1,119,0.05,Apple Pay,Completed
ORD15311,2024-04-20,C0035,P027,ST003,3,3499,0.1,Mastercard,Completed
ORD13731,2024-01-22,C0345,P029,ST004,1,4999,0.05,Visa,Completed
ORD11535,2023-07-02,C0426,P047,ST001,4,119,0,Mastercard,Completed
ORD14385,2024-02-01,C0140,P005,ST001,2,1599,0.1,Visa,Returned
ORD11963,2023-08-18,C0049,P042,ST001,,11499,0.1,Mada,Completed
ORD15142,2023-05-19,C0404,P005,ST002,1,1599,0,Cash,Completed
ORD13603,2024-03-24,C0250,P011,ST001,1,2799,0.05,Mada,Completed
ORD11689,2024-02-29,C0490,P019,ST002,1,2299,0.15,Mada,Completed
ORD16800,2024-04-04,C0069,P010,ST002,1,6999,0.1,Visa,Completed
ORD12325,2024-04-16,C0058,P045,ST002,1,599,0, Apple Pay  ,Completed
ORD13129,2023-07-20,C0061,P045,ST001,1,599,0,Visa,Completed
ORD11366,2023-11-24,C0246,P014,ST003,1,5499,0,Mada,Completed
ORD16068,2024-09-02,C0373,P023,ST002,3,3699,0.1,Visa,Completed
ORD17211,2023-03-08,C0470,P016,ST002,1,3699,0,Mastercard,Completed
ORD15343,2024-03-07,C0260,P012,ST003,1,7299,0,Mada,Completed
ORD14388,2023-06-24,C0145,P036,ST001,1,599,0,Mada,Completed
ORD12434,2024-03-21,C0143,P021,ST001,1,849,0.15,Bank Transfer,Completed
ORD13282,2023-12-18,C0381,P001,ST001,1,5999,0.15,Apple Pay,Completed
ORD15642,2023-05-23,C0427,P011,ST002,1,2799,0,Apple Pay,Completed
ORD13331,2024-08-02,C0347,P044,ST001,1,1099,0,Mada,Returned
ORD11630,2024-10-10,C0269,P019,ST003,1,2299,0.1,Visa,Completed
ORD12687,2024-02-25,C0349,P016,ST003,1,3699,0.05,Apple Pay,Completed
ORD10249,2023-07-25,C0372,P005,ST003,3,1599,0,Apple Pay,Completed
ORD16925,2023-02-24,C0421,P002,ST001,1,4299,0.2,Mada,Completed
ORD16878,2024-03-16,C0221,P027,ST001,1,3499,0.05,Apple Pay,Completed
ORD14093,2024-03-07,C0239,P027,ST004,1,3499,0.1,Visa,Completed
ORD10805,2024-04-24,C0321,P040,ST001,1,349,0.2,Apple Pay,Completed
ORD12121,2023-11-05,C0158,P021,ST001,2,849,0.1,Cash,Completed
ORD15158,2024-04-11,C0245,P040,ST003,1,349,0,Mada,Returned
